Column1;Column2;;Number of tweets;Number of persons who have tweeted this many times
@Ferrariman601YT;3;;;
@FestusMcgilicu1;1;;;
@FewThing4970;1;;;
@FillmoreWhite;1;;;
@Fishman361;1;;;
@FistsFaceBrace;3;;;
@Fl0ridianTrash;1;;;
@FlZZY7;2;;;
@Flaffenbam;3;;;
@FlatEarthZone;1;;;
@Flattielover;1;;;
@FloridaNaijaPH;1;;;
@FlorioGina;3;;;
@Foiloftin;1;;;
@ForestRajasthan;1;;;
@ForgiatoBlow47;2;;;
@FoxBusiness;1;;;
"@FoxNews""";1;;;
@FoxNews;48;;;
@FoxpawMister;1;;;
@France24_en;1;;;
@Franco931723205;1;;;
@FrankAceColwell;2;;;
@FrankLuntz;1;;;
@Frankd06830;4;;;
@Franklin_Graham;1;;;
@FraserNelson;1;;;
@FredHikes;1;;;
@FredrickUphoff;2;;;
@FreeStateNH;1;;;
@FreedomGeopol;3;;;
@Freeusa99403238;1;;;
@Fridays4future;3;;;
@FriendsOScience;11;;;
@FrogBorg;1;;;
@FruityDerp;1;;;
@G20IndiaSherpa;1;;;
@G20_India_2023;1;;;
@GBNEWS;9;;;
"@GOP""";1;;;
@GOPLeader;1;;;
@GOVUK;1;;;
@GWPF_org;1;;;
@GadSaad;10;;;
@GarbonzoYankees;1;;;
@GarrettIvo;2;;;
@GaryLegum;3;;;
@GaryTheImigrant;2;;;
@GenZLeftScumbag;1;;;
@GenevieveArizo1;2;;;
@Geno02614583;1;;;
@GenoVeno73;1;;;
@Geo_rexhe;1;;;
@GeoeWatchDebunk;1;;;
@GeorgeBruno;1;;;
@GeorgeC1810;1;;;
@GeorgeHampton25;1;;;
@GeorgeJ20262901;2;;;
@GeorgeMonbiot;5;;;
@GeorgeTakei;7;;;
@GeraldKutney;27;;;
@GeraldoRivera;2;;;
@Gerashchenko_en;1;;;
@GerberKawasaki;1;;;
@GerryKeogh2002;1;;;
@Gigi69030829;1;;;
@GinaMel5107;1;;;
@GiorgosSahinis;4;;;
@Gizmodo;1;;;
@Glass3Davis;1;;;
